Title,Rating,Genres,Url
Dracula (1931) ,7.5,"Drama, Fantasy, Horror            ",www.imdb.com/title/tt0021814/
Army of Darkness (1992) ,7.5,"Comedy, Fantasy, Horror            ",www.imdb.com/title/tt0106308/
Lights Out (II) (2016) ,6.3,"Drama, Horror, Mystery            ",www.imdb.com/title/tt4786282/
Once Bitten (1985) ,5.5,"Comedy, Drama, Fantasy            ",www.imdb.com/title/tt0089730/
Manhunter (1986) ,7.2,"Crime, Horror, Mystery            ",www.imdb.com/title/tt0091474/
The Room (2019) ,6.0,"Drama, Horror, Mystery            ",www.imdb.com/title/tt8485364/
Case 39 (2009) ,6.2,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt0795351/
Annabelle (I) (2014) ,5.4,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt3322940/
Death Becomes Her (1992) ,6.6,"Comedy, Fantasy, Horror            ",www.imdb.com/title/tt0104070/
Truth or Dare (I) (2018) ,5.2,"Horror, Thriller            ",www.imdb.com/title/tt6772950/
The Haunting (1963) ,7.5,Horror            ,www.imdb.com/title/tt0057129/
In the Tall Grass (2019) ,5.4,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt4687108/
Slither (2006) ,6.5,"Comedy, Horror, Sci-Fi            ",www.imdb.com/title/tt0439815/
Vampires (1998) ,6.2,"Action, Horror, Thriller            ",www.imdb.com/title/tt0120877/
Wolf (1994) ,6.2,"Drama, Horror, Romance            ",www.imdb.com/title/tt0111742/
Oculus (2013) ,6.5,"Horror, Mystery            ",www.imdb.com/title/tt2388715/
Urban Legend (1998) ,5.6,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt0146336/
Life (I) (2017) ,6.6,"Horror, Sci-Fi, Thriller            ",www.imdb.com/title/tt5442430/
Halloween III: Season of the Witch (1982) ,4.9,"Horror, Mystery, Sci-Fi            ",www.imdb.com/title/tt0085636/
Friday the 13th: The Final Chapter (1984) ,6.0,"Horror, Thriller            ",www.imdb.com/title/tt0087298/
Suspiria (1977) ,7.4,Horror            ,www.imdb.com/title/tt0076786/
Halloween 5: The Revenge of Michael Myers (1989) ,5.2,"Horror, Thriller            ",www.imdb.com/title/tt0097474/
Alien³ (1992) ,6.5,"Action, Horror, Sci-Fi            ",www.imdb.com/title/tt0103644/
The Witches of Eastwick (1987) ,6.5,"Comedy, Fantasy, Horror            ",www.imdb.com/title/tt0094332/
Fright Night (2011) ,6.3,"Comedy, Horror            ",www.imdb.com/title/tt1438176/
Are We Dead Yet (2019) ,2.9,"Comedy, Crime, Horror            ",www.imdb.com/title/tt7799654/
A Nightmare on Elm Street 3: Dream Warriors (1987) ,6.6,"Fantasy, Horror            ",www.imdb.com/title/tt0093629/
1922 (2017) ,6.3,"Crime, Drama, Horror            ",www.imdb.com/title/tt6214928/
Blade II (2002) ,6.7,"Action, Fantasy, Horror            ",www.imdb.com/title/tt0187738/
Cannibal Holocaust (1980) ,5.9,"Adventure, Horror            ",www.imdb.com/title/tt0078935/
It Comes at Night (2017) ,6.2,"Horror, Mystery            ",www.imdb.com/title/tt4695012/
They Live Inside Us (2020) ,4.0,Horror            ,www.imdb.com/title/tt8327630/
Creep (I) (2014) ,6.3,"Horror, Thriller            ",www.imdb.com/title/tt2428170/
