Title,Rating,Genres,Tags,Url
The Wretched (2019) ,5.8,Horror            ,"[""taking off someone's underwear"", 'embarrassing male nudity', 'embarrassing nudity', 'woman wrapped in a towel', 'daisy dukes']",https://www.imdb.com//title/tt8305806/
30 Days of Night (2007) ,6.6,"Action, Horror, Thriller            ","['vampire', 'small town', 'alaska', 'winter', 'based on graphic novel']",https://www.imdb.com//title/tt0389722/
The Others (2001) ,7.6,"Horror, Mystery, Thriller            ","['mansion', 'haunting', 'surprise ending', 'suicide attempt', 'able to see the dead']",https://www.imdb.com//title/tt0230600/
Jennifer's Body (2009) ,5.2,"Comedy, Horror            ","['scene during end credits', 'succubus', 'female removes her clothes', 'scantily clad female', 'lesbian teen']",https://www.imdb.com//title/tt1131734/
Freaky (2020) ,7.9,"Comedy, Horror, Thriller            ","['body swap', 'serial killer', 'slasher killer', 'violence', 'black comedy']",https://www.imdb.com//title/tt10919380/
Event Horizon (1997) ,6.7,"Horror, Sci-Fi, Thriller            ","['spaceship', 'black hole', 'hell', 'astronaut', 'female astronaut']",https://www.imdb.com//title/tt0119081/
Carrie (1976) ,7.4,Horror            ,"['telekinesis', 'prank', 'high school prom', 'bad mother', 'female rear nudity']",https://www.imdb.com//title/tt0074285/
#Saraitda (2020) ,6.2,"Action, Drama, Horror            ","['city', 'isolation', 'seoul', 'apartment', 'zombie']",https://www.imdb.com//title/tt10620868/
I See You (II) (2019) ,6.8,"Crime, Drama, Horror            ","['phrogging', 'kidnapping', 'murder', 'infidelity', 'dysfunctional family']",https://www.imdb.com//title/tt6079516/
Train to Busan (2016) ,7.6,"Action, Horror, Thriller            ","['south korea', 'cheerleader legs', 'cheerleader uniform', 'pretty legs', 'hiked skirt']",https://www.imdb.com//title/tt5700672/
It Follows (2014) ,6.8,"Horror, Mystery, Thriller            ","['tied to a wheelchair', 'being followed', 'teenage girl', 'supernatural being', 'chloroform']",https://www.imdb.com//title/tt3235888/
Good Samaritan (2020) ,3.6,"Horror, Mystery, Thriller            ","['woman', 'karma', 'faith', 'reference to final destination']",https://www.imdb.com//title/tt10418846/
Insidious (I) (2010) ,6.8,"Horror, Mystery, Thriller            ","['boy', 'house', 'coma', 'baby', 'demon']",https://www.imdb.com//title/tt1591095/
Pumpkinhead (1988) ,6.2,"Fantasy, Horror            ","['demon', 'vengeance', 'monster', 'first part', 'evil woman']",https://www.imdb.com//title/tt0095925/
Hellraiser (1987) ,7.0,"Horror, Thriller            ","['puzzle box', 'demon', 'sadomasochism', 'portal to hell', 'gore']",https://www.imdb.com//title/tt0093177/
The Nun (2018) ,5.3,"Horror, Mystery, Thriller            ","['priest', 'spin off', 'nun', 'buried alive', 'romania']",https://www.imdb.com//title/tt5814060/
Scary Stories to Tell in the Dark (2019) ,6.2,"Adventure, Horror, Mystery            ","['scarecrow', 'haunted book', 'haunted house', 'monster', 'hospital']",https://www.imdb.com//title/tt3387520/
Follow Me (2020) ,5.4,"Adventure, Horror, Thriller            ",['social media'],https://www.imdb.com//title/tt8160834/
Final Destination (2000) ,6.7,"Horror, Thriller            ","['extrasensory perception', 'teen horror', 'teenage girl', 'death', 'premonition']",https://www.imdb.com//title/tt0195714/
The Hills Have Eyes (2006) ,6.4,"Horror, Thriller            ","['murder of family', 'deformity', 'rape', 'murder spree', 'graphic violence']",https://www.imdb.com//title/tt0454841/
Resident Evil (2002) ,6.7,"Action, Horror, Sci-Fi            ","['doberman', 'cut into pieces', 'zombie', 'commando', 'kissing while having sex']",https://www.imdb.com//title/tt0120804/
Zombieland: Double Tap (2019) ,6.7,"Action, Adventure, Comedy            ","['altered version of studio logo', 'marriage proposal', 'sequel', 'second part', 'zombie']",https://www.imdb.com//title/tt1560220/
A Quiet Place Part II (2020) ,None,"Drama, Horror, Sci-Fi            ","['sequel', 'second part', 'alien', 'post apocalypse', 'psychotronic film']",https://www.imdb.com//title/tt8332922/
Il legame (2020) ,4.6,"Drama, Horror, Thriller            ",[],https://www.imdb.com//title/tt10914452/
A Nightmare on Elm Street (2010) ,5.2,"Crime, Drama, Horror            ","['dream', 'nightmare', 'springwood ohio', 'child molestation', 'child molester']",https://www.imdb.com//title/tt1179056/
Ang-ma-reul bo-at-da (2010) ,7.8,"Action, Crime, Drama            ","['revenge', 'fighting', 'murder', 'tragic event', 'decapitation']",https://www.imdb.com//title/tt1588170/
12 Hour Shift (2020) ,5.3,"Comedy, Horror, Thriller            ","['nurse', 'organ trafficking']",https://www.imdb.com//title/tt10309552/
House on Haunted Hill (1999) ,5.7,"Crime, Fantasy, Horror            ","['haunted hospital', 'characters killed one by one', 'haunted house', 'strapped to a bed', 'breasts']",https://www.imdb.com//title/tt0185371/
The Amityville Horror (2005) ,6.0,Horror            ,"['murder', 'basement', 'haunted house', 'priest', 'paranoia']",https://www.imdb.com//title/tt0384806/
Christine (1983) ,6.7,"Horror, Thriller            ","['killer car', 'friendship', 'bully', 'drive in', 'year 1978']",https://www.imdb.com//title/tt0085333/
Sinister (I) (2012) ,6.8,"Horror, Mystery, Thriller            ","['writer', 'found footage', 'box', 'super 8', 'ghost']",https://www.imdb.com//title/tt1922777/
What We Do in the Shadows (2014) ,7.7,"Comedy, Horror            ","['vampire', 'mockumentary', 'zombie', 'werewolf transformation', 'werewolf pack']",https://www.imdb.com//title/tt3416742/
I Know What You Did Last Summer (1997) ,5.7,"Horror, Mystery            ","['stupid victim', 'taking a shower', 'teenage girl', 'overalls', 'bikini']",https://www.imdb.com//title/tt0119345/
Saw (2004) ,7.6,"Horror, Mystery            ","['locked in a room', 'trapped in a room', 'mind game', 'surprise ending', 'flashback']",https://www.imdb.com//title/tt0387564/
